document,avg_cosine_with_dovish,avg_cosine_with_hawkish,date
20180119.txt,0.6043513117684531,0.4394883247303594,2018-01-19
20180213.txt,0.5524852818085088,0.4502333791719543,2018-02-13
20180222.txt,0.4590241791946547,0.5242538230404967,2018-02-22
20180226.txt,0.5604005373186536,0.507704506524735,2018-02-26
20180305.txt,0.6159161635807582,0.42271405912580945,2018-03-05
20180306.txt,0.4440945500539521,0.5399434465472981,2018-03-06
20180326.txt,0.540833181515336,0.39966078236854324,2018-03-26
20180403.txt,0.5306382114525701,0.49062074122370264,2018-04-03
20180406.txt,0.4739223303504629,0.4421947645084336,2018-04-06
20180417.txt,0.5608570813122442,0.4749818662718191,2018-04-17
20180419.txt,0.5420738737006764,0.5617826011154677,2018-04-19
20180504.txt,0.6114009969107067,0.4136092382987947,2018-05-04
20180508.txt,0.554202460487124,0.39634039987560726,2018-05-08
20180515.txt,0.5593648748319657,0.34954314932349273,2018-05-15
20180516.txt,0.6291392371058464,0.45271165056952406,2018-05-16
20180518.txt,0.5629601691746049,0.40366726365216354,2018-05-18
20180525.txt,0.5712027148026781,0.3743870886253942,2018-05-25
20180531.txt,0.4678127313298838,0.5207132223461356,2018-05-31
20180620.txt,0.4404357047890549,0.48288967599397276,2018-06-20
20180627.txt,0.5590062763255376,0.3979063229993559,2018-06-27
20180718.txt,0.6257275735648969,0.42142615366416675,2018-07-18
20180719.txt,0.589841701208599,0.3683316059824493,2018-07-19
20180824.txt,0.4910520264370875,0.43328356641260063,2018-08-24
20180912.txt,0.5018742518642774,0.5143192235308771,2018-09-12
20180927.txt,0.5425579578712069,0.49595964160458794,2018-09-27
20181002.txt,0.5629006206298506,0.42658233154096353,2018-10-02
20181003.txt,0.541874757927397,0.3932580855148642,2018-10-03
20181004.txt,0.4694540350986966,0.36367434146412614,2018-10-04
20181015.txt,0.577719331480736,0.4263589489598607,2018-10-15
20181017.txt,0.48950486234389246,0.3633557024295442,2018-10-17
20181018.txt,0.5300043341659364,0.44248386933690026,2018-10-18
20181025.txt,0.5477480063071618,0.5056573978792398,2018-10-25
20181109.txt,0.6234071590006351,0.4399727629987817,2018-11-09
20181113.txt,0.5683509523755518,0.3691061992150057,2018-11-13
20181116.txt,0.6050964693228403,0.4449135054040838,2018-11-16
20181127.txt,0.5578486951497885,0.4721629559277342,2018-11-27
20181128.txt,0.5784315842957723,0.43991051537413445,2018-11-28
20181203.txt,0.5608492328398893,0.38716560820130264,2018-12-03
20181205.txt,0.5093109702579995,0.36779902597618663,2018-12-05
20181206.txt,0.47099739183550293,0.43954984819435555,2018-12-06
20181207.txt,0.48007915558799213,0.48580662536107944,2018-12-07
20190109.txt,0.5906235776325264,0.38747721556389686,2019-01-09
20190110.txt,0.5327601178238789,0.5198159422725439,2019-01-10
20190201.txt,0.5594035977125168,0.48472781538963317,2019-02-01
20190206.txt,0.5803477507416565,0.362234232744368,2019-02-06
20190210.txt,0.5926084851517397,0.4469529431240231,2019-02-10
20190211.txt,0.5861512513624297,0.43254620105855995,2019-02-11
20190212.txt,0.4755206188559532,0.35136645171791314,2019-02-12
20190222.txt,0.6001465466984531,0.43303773998778466,2019-02-22
20190223.txt,0.5377412793311206,0.310409555550326,2019-02-23
20190228.txt,0.4616891143082733,0.43093003609388225,2019-02-28
20190307.txt,0.4970563872620977,0.4609100520931955,2019-03-07
