document,sentence,dovish,hawkish,neutral
20180131.txt,Developments in Financial Markets and Open Market Operations The manager of the System Open Market Account (SOMA) provided a summary of developments in domestic and global financial markets over the intermeeting period.,0.00013137253699824214,0.0001044369928422384,0.9997642636299133
20180131.txt,Financial conditions eased further over recent weeks with market participants pointing to increasing appetites for risk and perceptions of diminished downside risks as factors buoying market sentiment.,0.13640443980693817,0.8563178777694702,0.007277742959558964
20180131.txt,"In this environment, yields on safe assets such as U.S. Treasury securities moved up some while corporate risk spreads narrowed and equity prices recorded further significant gains.",0.9941428303718567,0.005112352780997753,0.0007448463002219796
20180131.txt,Breakeven measures of inflation compensation derived from Treasury Inflation Protected Securities (TIPS) moved up but remained low.,0.0011116963578388095,0.002139550866559148,0.9967488050460815
20180131.txt,Survey measures of longer-term inflation expectations showed little change.,7.46637160773389e-05,7.460372580680996e-05,0.9998507499694824
20180131.txt,"Judging from interest rate futures, the expected path of the federal funds rate shifted up over the period but continued to imply a gradual expected pace of policy firming.",0.00016451181727461517,0.9976843595504761,0.00215110182762146
20180131.txt,The deputy manager followed with a discussion of recent developments in money markets and FOMC operations.,6.108238449087366e-05,8.39411950437352e-05,0.9998550415039062
20180131.txt,"Year-end pressures were evident in the market for foreign exchange basis swaps, but conditions returned to normal early in 2018.",0.00013930696877650917,0.00022371199156623334,0.9996370077133179
20180131.txt,"Yields on Treasury bills maturing in early March were elevated, reflecting investors' concerns about the possibility that a failure to raise the federal debt ceiling could affect the timing of principal payments for these securities.",0.0005543449078686535,0.9983273148536682,0.0011182937305420637
20180131.txt,The Open Market Desk continued to execute reinvestment operations for Treasury and agency securities in the SOMA in accordance with the procedure specified in the Committee's directive to the Desk.,0.0019640671089291573,0.00016456792945973575,0.9978713989257812
20180131.txt,The deputy manager also reported on the volume of overnight reverse repurchase agreement operations over the intermeeting period and discussed the Desk's plans for small-value operational tests of various types of open market operations over the coming year.,0.00010666334856068715,0.00012979585153516382,0.999763548374176
20180131.txt,"By unanimous vote, the Committee ratified the Open Market Desk's domestic transactions over the intermeeting period.",0.00014173949602991343,7.94060542830266e-05,0.9997789263725281
20180131.txt,There were no intervention operations in foreign currencies for the System's account during the intermeeting period.,0.00017975701484829187,8.472111949231476e-05,0.9997355341911316
20180131.txt,Inflation Analysis and Forecasting The staff presented three briefings on inflation analysis and forecasting.,4.6886085328878835e-05,0.00015334508498199284,0.9997997879981995
20180131.txt,The presentations reviewed a number of commonly used structural and reduced-form models.,5.232972762314603e-05,0.0001274237729376182,0.9998202919960022
20180131.txt,These included structural models in which the rate of inflation is linked importantly to measures of resource slack and a measure of expected inflation relevant for wage and price setting--so-called Phillips curve specifications--as well as statistical models in which inflation is primarily determined by a time-varying inflation trend or longer-run inflation expectations.,4.7437017201446e-05,0.00010574646148597822,0.9998468160629272
20180131.txt,The briefings noted several factors beyond those captured in the models that appeared to have put downward pressure on prices in recent years.,0.11931946128606796,0.004434231668710709,0.8762463927268982
20180131.txt,"These included structural changes in price setting for some items, such as medical care, and the effects of idiosyncratic price shocks, such as the unusual drop in prices of wireless telephone services in 2017.",0.0011506059672683477,0.00020931723702233285,0.9986401200294495
20180131.txt,The staff found little compelling evidence for the possible influence of other factors such as a more competitive pricing environment or a change in the markup of prices over unit labor costs.,0.00011269556125625968,5.7156117691192776e-05,0.9998300075531006
20180131.txt,"Overall, for the set of models presented, the prediction errors in recent years were larger than those observed during the 2001-07 period but were consistent with historical norms and, in most models, did not appear to be biased.",6.280522211454809e-05,7.848698442103341e-05,0.9998587369918823
20180131.txt,"The staff presentations considered two key channels by which monetary policy influences inflation--the response of inflation to changes in resource utilization and the role of inflation expectations, or trend inflation, in the price-setting process.",4.8324109229724854e-05,0.00016423592751380056,0.9997875094413757
20180131.txt,"In part because inflation was importantly influenced by a number of short-lived factors, the effects of current and expected resource utilization gaps on inflation were not easy to discern empirically.",7.191322220023721e-05,7.874648144934326e-05,0.9998493194580078
20180131.txt,Estimates of the strength of those effects had diminished noticeably in recent years.,0.00019022390188183635,5.995784522383474e-05,0.9997498393058777
20180131.txt,"The briefings highlighted a number of other challenges associated with estimating the strength and timing of the linkage between resource utilization and inflation, including the reliability of and changes over time in estimates of the natural rate of unemployment and potential output and the ability to adequately account for supply shocks.",0.00011208540672669187,0.0001033817752613686,0.9997846484184265
20180131.txt,"In addition, some research suggested that the relationship between resource utilization and inflation may be nonlinear, with the response of inflation increasing as rates of utilization rise to very high levels.",0.000634636904578656,0.9681373238563538,0.031228000298142433
20180131.txt,"With regard to inflation expectations, two of the briefings presented findings that the longer-run trend in inflation, absent cyclical disturbances or transitory fluctuations, had been stable in recent years at a little below 2 percent.",7.344363984884694e-05,0.0002535295789130032,0.9996731281280518
20180131.txt,"The briefings reported that the average forecasting performance of models employing either statistical estimates of inflation trends or survey-based measures of inflation expectations as proxies for inflation expectations appeared comparable, even though different versions of such models could yield very different forecasts at any given point in time.",5.491681076819077e-05,0.00011725433432729915,0.9998277425765991
20180131.txt,"Moreover, al­though survey-based measures of longer-run inflation expectations tended to move in parallel with estimated inflation trends, the empirical research provided no clear guidance on how to construct a measure of inflation expectations that would be the most useful for inflation forecasting.",5.985653479001485e-05,0.00010283958545187488,0.9998372793197632
20180131.txt,"The staff noted that al­though reduced-form models in which inflation tends to revert toward longer-run inflation trends described the data reasonably well, those models offered little guidance to policymakers on how to conduct policy so as to achieve their desired outcome for inflation.",6.0608217609114945e-05,0.00010096241749124601,0.9998383522033691
