document,sentence,cosine_with_dovish,cosine_with_hawkish
20180321.txt,"March 21,

Transcript of Chair man  Powell’s Press Conference March 21, 2018

CHAIRMAN POWELL.",0.547066,0.107097
20180321.txt,Good afternoon.,0.459808,0.370481
20180321.txt,"I have a brief statement, and then I’ll be happy to respond to your questions.",0.614361,0.316620
20180321.txt,"The job market remains strong, the economy continues to expand, and inflation appears to be moving toward the FOMC’s 2 percent longer-run goal.",0.478589,0.843616
20180321.txt,"As you already know, we decided today to raise the target rate  for the federal funds rate by ¼ percentage point, bringing it to 1½ to 1¾ percent.1  This decision marks another step in the ongoing process of gradually scaling back monetary policy accommodation—a process that has been under way for several years now.",0.673990,0.603400
20180321.txt,"Job gains averaged 240,000 per month over the past three months, well above the pace needed in the longer run to absorb new entrants into the labor force.",0.172939,0.604954
20180321.txt,"The unemployment rate remained low in February at 4.1 percent, while the labor force participation rate moved higher.",0.207290,0.308619
20180321.txt,"Over the past four years, the participation rate has remained roughly unchanged.",0.724648,0.579645
20180321.txt,"That’s a sign of improvement, given that the aging of our population is putting downward pressure on the participation rate, and we expect that the job market will remain strong.",0.360687,0.658038
20180321.txt,"Although the growth rates of household spending and business investment appear to have moderat ed early this year, gains in the fourth quarter were strong and the fundamentals underpinning demand remain solid.",0.248823,0.760972
20180321.txt,"Indeed, the economic outlook has strengthened in recent months.",0.155792,0.738483
20180321.txt,"Several factors are supporting the outlook:  F iscal policy has become more stimulative, ongoing job gains are boosting incomes and confidence, foreign growth is on a firm trajectory, and overall financial conditions remain accommodative.",0.331424,0.784191
20180321.txt,"March 21,

Against this backdrop, inflation remains below our 2 percent longer -run objective.",0.659416,0.517347
20180321.txt,"Overall consumer prices, as measured by the price index for personal consumption expenditures, increased 1.7  percent in the 12 months ending in January.",0.165025,0.671381
20180321.txt,"The core price index, which excludes the prices of energy and food and is typically a better indicator of futur e inflation, rose 1.5 percent over the same period.",0.301359,0.702474
20180321.txt,"However, as we have noted for some time, the shortfall of inflation from 2 percent reflects, at least partly, some unusual price declines that occurred nearly a year ago.",0.599028,0.578889
