document,sentence,dovish,hawkish,neutral
20180321.txt,"March 21,

Transcript of Chair man  Powell’s Press Conference March 21, 2018

CHAIRMAN POWELL.",0.00012293843610677868,0.0001477148907724768,0.999729335308075
20180321.txt,Good afternoon.,0.0027627015952020884,0.0026500343810766935,0.9945873022079468
20180321.txt,"I have a brief statement, and then I’ll be happy to respond to your questions.",0.0001746584166539833,8.65057299961336e-05,0.9997387528419495
20180321.txt,"The job market remains strong, the economy continues to expand, and inflation appears to be moving toward the FOMC’s 2 percent longer-run goal.",0.0006762223201803863,0.9686794281005859,0.030644334852695465
20180321.txt,"As you already know, we decided today to raise the target rate  for the federal funds rate by ¼ percentage point, bringing it to 1½ to 1¾ percent.1  This decision marks another step in the ongoing process of gradually scaling back monetary policy accommodation—a process that has been under way for several years now.",0.0002113281807396561,0.999299168586731,0.0004894467419944704
20180321.txt,"Job gains averaged 240,000 per month over the past three months, well above the pace needed in the longer run to absorb new entrants into the labor force.",0.0006468142382800579,0.9891626834869385,0.010190501809120178
20180321.txt,"The unemployment rate remained low in February at 4.1 percent, while the labor force participation rate moved higher.",0.002881611930206418,0.8528014421463013,0.1443169265985489
20180321.txt,"Over the past four years, the participation rate has remained roughly unchanged.",0.0001227700849995017,8.187608182197437e-05,0.9997953772544861
20180321.txt,"That’s a sign of improvement, given that the aging of our population is putting downward pressure on the participation rate, and we expect that the job market will remain strong.",0.3812408447265625,0.29743435978889465,0.32132473587989807
20180321.txt,"Although the growth rates of household spending and business investment appear to have moderat ed early this year, gains in the fourth quarter were strong and the fundamentals underpinning demand remain solid.",0.00032031533191911876,0.9836038947105408,0.01607581600546837
20180321.txt,"Indeed, the economic outlook has strengthened in recent months.",0.0008992202929221094,0.9598197937011719,0.039281006902456284
20180321.txt,"Several factors are supporting the outlook:  F iscal policy has become more stimulative, ongoing job gains are boosting incomes and confidence, foreign growth is on a firm trajectory, and overall financial conditions remain accommodative.",0.24268928170204163,0.7550700902938843,0.002240650122985244
20180321.txt,"March 21,

Against this backdrop, inflation remains below our 2 percent longer -run objective.",0.9444882869720459,0.009279726073145866,0.04623202234506607
20180321.txt,"Overall consumer prices, as measured by the price index for personal consumption expenditures, increased 1.7  percent in the 12 months ending in January.",0.00012199008779134601,0.998519241809845,0.0013587884604930878
20180321.txt,"The core price index, which excludes the prices of energy and food and is typically a better indicator of futur e inflation, rose 1.5 percent over the same period.",0.00029288665973581374,0.9550734758377075,0.04463367536664009
20180321.txt,"However, as we have noted for some time, the shortfall of inflation from 2 percent reflects, at least partly, some unusual price declines that occurred nearly a year ago.",0.9867274165153503,0.0007739746943116188,0.012498600408434868
20180321.txt,"In coming months, as those earl ier declines drop out of the calculation, inflation should move up closer to 2 percent and stabilize around that level over the medium term.",6.159981421660632e-05,0.00041300253360532224,0.9995254278182983
20180321.txt,"Of course, various forces will continue to affect inflation.",8.055203215917572e-05,0.00011115586676169187,0.9998082518577576
20180321.txt,"A t times it may be above 2 percent, just as at times  it may be below.",0.0003460527223069221,6.17014811723493e-05,0.9995922446250916
20180321.txt,Our inflation objective is symmetric in the sense that we are trying to prevent persistent deviations from 2 percent in either direction.,0.0004511078877840191,0.0005126098985783756,0.9990363121032715
20180321.txt,"Based on the projections that Committee participants submitted for this meeting, the median project ion for the growth of inflation- adjusted GDP is 2.7 percent this year, 2.4 percent next year, and 2 percent in 2020, a bit above its estimated longer -run rate.",0.0009530946845188737,0.9805721044540405,0.018474837765097618
20180321.txt,"The median projection for unemployment —for the unemployment rate stands at 3.8 percent in the f ourth quarter of this year and runs at 3.6 percent over the next two years, almost a percentage point below the median estimate of its longer -run normal rate.",0.010102873668074608,0.00044063516543246806,0.9894564747810364
20180321.txt,"Finally, the median inflation projection is 1.9 percent this year, 2 percent next year, and 2.1 percent in 2020.",0.0003657815686892718,0.09462469071149826,0.9050095677375793
20180321.txt,"Compared with the projections made in December, real GDP growth is stronger, the unemployment rate is lower, and inflation is slightly higher.",0.0005276913871057332,0.9972153902053833,0.0022569489665329456
20180321.txt,"As I noted earlier, today’s decision to raise the federal funds rate is another step in the process of gradually scaling back monetary policy accommodation as the economic expansion

March 21,

continues.",0.0002525644958950579,0.9996283054351807,0.00011915522190975025
20180321.txt,"This gradual process has been under way for more than two years , and it has served —and should continue to serve —the economy well.",0.0031661067623645067,0.07131952047348022,0.925514280796051
20180321.txt,"In making our policy decisions over the next few years, we will continue to aim for inflation of 2 percent while sustaining the economic expansion and a strong labor market.",0.0013126280391588807,0.9955334663391113,0.00315393996424973
20180321.txt,"In the Committee’s view, further gradual increases in the federal funds rate will best promote these goals.",0.0004116478085052222,0.9985700845718384,0.0010182596743106842
20180321.txt,"By contrast, raising rates too slowly  would raise the risk that monetary policy would need to tighten abruptly down the road, which could jeopardize the economic expansion.",0.000375997566152364,0.9994620680809021,0.00016192665498238057
20180321.txt,"At the same time, we want to avoid inflation running persistently below our  objective, which could leave us with less scope to counter an economic downturn in the future.",0.9942492246627808,0.00547197787091136,0.0002788238343782723
20180321.txt,Participants’ projections of the appropriate path for the federal funds rate reflect our gradual approach.,6.33228337392211e-05,0.000193729079910554,0.9997429251670837
20180321.txt,"The median projection for the federal funds rate is 2.1 percent at the end of this year, 2.9 percent at the end of 2019, and 3.4 percent at the end of 2020.",0.00027726448024623096,0.007084877695888281,0.9926378726959229
20180321.txt,"By 2020, the median federal funds rate is modestly above its estimated longer -run trend.",0.0003911495441570878,0.9648522734642029,0.03475654125213623
20180321.txt,"Most participants revised up their projections since Decembe r, although the median projection for this year did not change.",8.826186967780814e-05,0.0001703456073300913,0.9997413754463196
20180321.txt,The medians for 2019 and 2020 are somewhat higher than in December.,0.001063999836333096,0.43337246775627136,0.5655635595321655
20180321.txt,"Of course, we’ll be watching how the economy evolves in the months and years ahead relative to our maximum employment and p rice stability objectives.",0.00016839851741679013,0.00041486520785838366,0.9994168281555176
20180321.txt,"If the outlook changes, we will adjust monetary policy appropriately.",0.0005504779983311892,8.833067840896547e-05,0.9993612170219421
20180321.txt,"Finally, I’ll note that our program for reducing our balance sheet, which began in October, is proceeding smoothly.",0.003778483485803008,0.27481186389923096,0.7214096784591675
20180321.txt,"Barring a very significant and unexpected weakening in the outlook, we do not intend to alter this program.",0.0008302083006128669,0.00010487406689208001,0.9990648627281189
20180321.txt,"As we’ve said, changing the target range for the federal funds rate is our primary means of adjusting the stance of monetary policy.",0.00016758883430156857,0.0008805622928775847,0.9989519119262695
20180321.txt,"As always, the Committee would be prepared to use its full range of tools if future economic conditions

March 21,

were to warrant a more accommodative monetary policy than can be achieved solely by reducing the federal funds rate.",0.9984575510025024,0.0009402249124832451,0.0006022244342602789
20180321.txt,"Thank you, and I’ll be happy to take your questions now.",0.0001352830877294764,0.000181150360731408,0.9996836185455322
20180321.txt,STEVE LIESMAN.,0.000178040616447106,9.629039413994178e-05,0.9997256398200989
20180321.txt,"Mr. Chairman —rig ht, the microphone.",0.000705716316588223,0.0001628402096685022,0.9991315007209778
20180321.txt,"Mr. Chairman, welcome.",9.678281639935449e-05,0.00015603064093738794,0.9997472167015076
20180321.txt,Interesting changes in the forecast.,0.00033370323944836855,0.0002763527736533433,0.9993898868560791
20180321.txt,"A higher growth forecast a full point above the long run, lower unemployment seven -tenths  below the long run, a nd yet very little change in inflation.",0.0004725555481854826,0.00022148992866277695,0.9993059635162354
20180321.txt,What does that say ab out what you and the Committee believe about the inflation dynamic ?,0.00028692823252640665,0.00013621404650621116,0.9995768666267395
20180321.txt,"And how is it that, in that context, you justify three rate hikes this year —and I sense there’ll be three next year —and a full $600 billion, I guess, annual rate decline in the balance sheet?",0.025782311335206032,0.8214934468269348,0.1527242809534073
20180321.txt,Where's your biggest concern here?,0.0001645274751354009,0.00010453893628437072,0.9997308850288391
20180321.txt,Is it in overkill when it comes to rates or underkill?,0.0004297251289244741,0.00013518486230168492,0.9994350075721741
20180321.txt,CHAIRMAN POWELL.,0.00010669450421119109,0.00016958516789600253,0.9997237324714661
20180321.txt,"So, you’re right that the outlook did improve, as I mentioned and as you—as was in your question.",0.001173309632577002,0.0008830423466861248,0.9979435801506042
20180321.txt,"The Committee ’s estimates of growth went u p, the Committee ’s estimates of unemployment went down, and there was a very slight increase in inflation.",0.13418830931186676,0.26134705543518066,0.604464590549469
20180321.txt,"And I think that reflects, essentially —if you think back to the era after the crisis, unemployment was 10 percent.",0.8768296241760254,0.0003366395831108093,0.12283365428447723
20180321.txt,It’s now 4.1 percent.,0.14624497294425964,0.0033834795467555523,0.8503715395927429
20180321.txt,You ’ve only seen very gradual upward pressures on inflation and wages despite that very large increase.,0.4520135819911957,0.11537396162748337,0.43261244893074036
20180321.txt,And that suggests that the relationship between changes in slack and inflation is not so tight.,5.3667667089030147e-05,9.144478099187836e-05,0.9998549222946167
20180321.txt,"But, it has diminished, but it ’s still there.",0.003671217942610383,0.0004865412483923137,0.9958422780036926
20180321.txt,"So I think when you see those small changes in unemployment, that simply reflects the, you know, the flatness of the Phillips curve, if you will.",0.00038414387381635606,0.00018883276788983494,0.999427080154419
20180321.txt,STEVE LIESMAN.,0.000178040616447106,9.629039413994178e-05,0.9997256398200989
20180321.txt,"And your biggest concern or your biggest risk here —is it doing too much, doing too little?",0.0003620359057094902,0.00022337315022014081,0.9994145631790161
20180321.txt,"CHAIRMAN POWEL L.  You know, I think we ’re trying to, we ’re trying to be, to take the middle ground there.",0.0001294468092964962,0.0003564446233212948,0.999514102935791
20180321.txt,"So, you know, on the one hand, the risk would be that we wait too

March 21,

long, and then we have to raise rates quickly , and that foreshortens the expansion.",0.003093123435974121,0.9965466856956482,0.00036019369144923985
20180321.txt,We don’ t want to do that.,0.004847779870033264,0.00025404931511729956,0.9948981404304504
20180321.txt,"The —on the other side, if we —if we raise rates too quickly, inflation, then, really doesn ’t get sustainably up to 2 percent , and, that will hurt us going forward.",0.008374705910682678,0.9912821054458618,0.0003431332588661462
20180321.txt,"We need that, and it ’s, you know, we need to make sure that inflation expecta tions are anchored at 2  percent .",0.44358474016189575,0.36755433678627014,0.1888609528541565
20180321.txt,"So we ’re trying to take that middle ground, and the Committee continues to believe that the middle ground consists of further gradual increases in the federal funds rate as long as the economy is broadly on this path.",0.0002821716479957104,0.9981083869934082,0.001609441009350121
20180321.txt,NICK TIMIRAOS.,0.00021888656192459166,0.00010036296589532867,0.999680757522583
20180321.txt,Thanks.,0.011034670285880566,0.005888213403522968,0.9830771088600159
20180321.txt,I’m Nick Timiraos of the Wall Street Journal.,0.0001503397652413696,0.00011910730972886086,0.99973064661026
20180321.txt,"Chair Powell, I want to ask about the symmetric inflation target—what you outlined in your remarks as preventing persistent deviations.",8.762622746871784e-05,0.0003263206745032221,0.9995860457420349
20180321.txt,I want to understand what symmetry means in the  context of inflation b eing allowed to run above the 2 percent  target now that that ’s part of the projection for—at least for core PCE next year.,0.0036630393005907536,0.907601535320282,0.08873537927865982
20180321.txt,How do you define symmetric relative to the experience of the past five years?,0.00031799395219422877,0.00011478371015982702,0.9995672106742859
20180321.txt,Would the Fed be willing to a ccept the type of overshoot of its target as it has seen during the undershoot?,0.017736535519361496,0.0004344632907304913,0.981829047203064
20180321.txt,And how high above 2 percent is too high to maintain a target that is symmetric?,0.0002740669879131019,0.0007925537647679448,0.9989333748817444
20180321.txt,"Is it 2¼, 2½, 2¾ ?",0.0019281369168311357,0.0008677758742123842,0.997204065322876
20180321.txt,"And also, for how long?",0.0004208321333862841,6.36568438494578e-05,0.9995155334472656
20180321.txt,CHAIRMAN POWELL.,0.00010669450421119109,0.00016958516789600253,0.9997237324714661
20180321.txt,"You know, so as you noted, the —what we ’ve said in the longer -run statement of goals and monetary policy strategy is that we would be concerned with sustained or persistent deviations of inflation either above or below.",0.00010097950143972412,0.0003767073794733733,0.99952232837677
20180321.txt,We ’ve also said —in minutes and in speeches and things like that —that  that is a symmetric objective.,0.00012918069842271507,0.0036595819983631372,0.9962111711502075
20180321.txt,"So, that ’s how we think of it.",6.925507477717474e-05,9.023179154610261e-05,0.999840497970581
20180321.txt,"And, I think it ’s—I wouldn’ t characterize what we ’ve done over the last five years as tolerating, you know, an undershoot of inflation.",0.20458321273326874,0.0035534941125661135,0.7918633222579956
20180321.txt,"We were always pushing toward 2 percent , and I think that is how we look at it.",0.010410591028630733,0.0003228575806133449,0.9892665147781372
20180321.txt,I can ’t give you an exact number.,0.0011208951473236084,0.00015621245256625116,0.9987228512763977
20180321.txt,"It just, you know, it, we haven ’t agreed on that.",0.00021958694560453296,8.643464389024302e-05,0.9996939897537231
20180321.txt,"It just is that we ’re always going to be seeking 2 percent

March 21,

inflation.",0.8770471811294556,0.07455028593540192,0.048402540385723114
20180321.txt,"And in doing that, we ’re going to be considering, by the way , the other side of the mandate.",0.00019100324425380677,0.0001131551107391715,0.9996957778930664
20180321.txt,"You know, we have to balance that against the deviation of employment from — unemployment from its goal.",0.9971279501914978,0.00040596770122647285,0.0024660907220095396
20180321.txt,"And —and also , just the duration of it as well.",0.0002226322831120342,0.0003062452597077936,0.999471127986908
20180321.txt,JIM PUZZANGHERA.,0.00023242319002747536,0.0001516097690910101,0.9996160268783569
20180321.txt,"Hi, Mr. Chairman.",9.900390432449058e-05,0.000109937580418773,0.9997910857200623
20180321.txt,"Jim Puzzanghera with the L.A. Time s.  Even with the extra fiscal stimulus of the tax cuts, your median growth projection is just up to 2.7 percent, and then—this year —and then drops back down to 2 percent by 2020.",0.013683201745152473,0.00041532746399752796,0.9859014749526978
20180321.txt,Is the continued talk in Washington about tax cuts bring ing growth to 3 per cent or higher on a sustained basis overselling their potential impact?,0.03959532082080841,0.029817737638950348,0.9305868744850159
20180321.txt,CHAIRMAN POWELL.,0.00010669450421119109,0.00016958516789600253,0.9997237324714661
20180321.txt,"You know, let me say what that really is.",0.00011224641639273614,8.57388149597682e-05,0.9998020529747009
20180321.txt,So the Summary of Economic Projections  is really a compilation of the individual rate forecasts.,7.233257201733068e-05,0.00015093052934389561,0.9997767806053162
20180321.txt,"The C ommittee made really  one decision at this meeting, and that was to raise the federal funds rate by 25 basis points.",0.00024358871451113373,0.9991105198860168,0.0006458506686612964
20180321.txt,The Summary of Economic Projections is individual forecasts compiled and written down.,8.894346683518961e-05,0.00016726755711715668,0.9997437596321106
20180321.txt,"And, you ’ve identified the median as 2.7 percent .",0.00011437014472903684,9.316760406363755e-05,0.9997923970222473
20180321.txt,I would—and that ’s an interesting statistic .,0.00041017052717506886,0.0003584165533538908,0.9992314577102661
20180321.txt,I would also say that the central tendency is interesting.,8.085116860456765e-05,7.501080835936591e-05,0.9998441934585571
20180321.txt,The full range is interesting.,5.8955440181307495e-05,0.00019183971744496375,0.9997491240501404
20180321.txt,So you have a range of views around the table.,6.107149238232523e-05,0.00016393608530052006,0.9997749924659729
20180321.txt,"One of the great benefits of our system is that we do have R eserve Banks with their own s taffs and Governors with different views , and so we discuss these things.",5.073501233709976e-05,0.0001172493357444182,0.9998319149017334
20180321.txt,"So the C ommittee doesn ’t vote or agree upon the medians, so you ’re going to have a range of views.",6.88631262164563e-05,7.743722380837426e-05,0.9998536109924316
20180321.txt,"That ’s really all I can say —2.7 just happens to be the median for ’ 18, but it doe sn’t really say, you know, what we think is possible.",0.0001089337602024898,5.2669238357339054e-05,0.9998383522033691
20180321.txt,JIM PUZZANGHERA.,0.00023242319002747536,0.0001516097690910101,0.9996160268783569
20180321.txt,But do you think you can get to 3 percent on a sustained basis?,0.005633973516523838,0.00026325619546696544,0.9941027760505676
20180321.txt,CHAIRMAN POWELL.,0.00010669450421119109,0.00016958516789600253,0.9997237324714661
20180321.txt,"You know, I would say it ’s hard to say, but it would take —you know, that is well above almost all estimates, current estimates of potential long -run growth.",0.31776323914527893,0.005570512264966965,0.676666259765625
20180321.txt,"It

March 21,

would take, you know, significant increases in productivity and labor force participation to get there.",0.5257660150527954,0.0018184104701504111,0.4724155366420746
20180321.txt,JEANNA SMIALEK.,0.00016478242469020188,0.00013136948109604418,0.9997038245201111
