document,avg_cosine_with_dovish,avg_cosine_with_hawkish,date
20180321.txt,0.5617484734437176,0.31503006348073065,2018-03-21
20180613.txt,0.5601235558993274,0.33486996118113566,2018-06-13
20180926.txt,0.5538104466941892,0.3132603075818577,2018-09-26
20181219.txt,0.5591408370959537,0.34094926850499446,2018-12-19
20190130.txt,0.45655468199402094,0.41135946847498417,2019-01-30
20190320.txt,0.5524660772152161,0.3191001171246171,2019-03-20
20190501.txt,0.5501399925602577,0.3372328901968471,2019-05-01
20190619.txt,0.539204151769387,0.32234327477811386,2019-06-19
20190731.txt,0.554512521345951,0.32409451406413864,2019-07-31
20190918.txt,0.5603442869350022,0.32268285180862044,2019-09-18
20191030.txt,0.5432131288554332,0.33031445582105656,2019-10-30
20191211.txt,0.5514097256779905,0.32314113740148737,2019-12-11
20240131.txt,0.5331977995886252,0.3080424420320644,2024-01-31
20240320.txt,0.53486922173021,0.29825878636128156,2024-03-20
20240501.txt,0.5428824874763696,0.3026347748363058,2024-05-01
20240612.txt,0.5331997667998075,0.3207473071812031,2024-06-12
20240731.txt,0.5406932197002624,0.29329372527325726,2024-07-31
20240918.txt,0.5337166079495212,0.29630440586821327,2024-09-18
20241107.txt,0.5369803226656384,0.2956318549277192,2024-11-07
20241218.txt,0.5375233658193844,0.34190823633167705,2024-12-18
20250129.txt,0.5483018293309567,0.27692125783538196,2025-01-29
20250319.txt,0.5474126905675918,0.28445196845716547,2025-03-19
